Gene1	Gene2
AAC1	ACE2
AAC1	ACS1
AAC1	ALG3
AAC1	APS1
AAC1	ARL1
AAC1	ARO2
AAC1	ASI3
AAC1	ASK10
AAC1	ATG1
AAC1	ATG3
AAC1	BCS1
AAC1	BNA2
AAC1	BNI4
AAC1	BRE2
AAC1	CAJ1
AAC1	CBP4
AAC1	CCW14
AAC1	CHS5
AAC1	CPR8
AAC1	CTF8
AAC1	CTT1
AAC1	DER1
AAC1	DSF2
AAC1	"DUR1,2"
AAC1	EAF1
AAC1	EAF6
AAC1	ENO1
AAC1	ERG3
AAC1	ERV2
AAC1	FKS3
AAC1	FLD1
AAC1	FLR1
AAC1	FYV1
AAC1	GAS4
AAC1	GDH2
AAC1	GET1
AAC1	GRE3
AAC1	HRK1
AAC1	HST4
AAC1	IDH1
AAC1	ILV6
AAC1	IML3
AAC1	IRC15
AAC1	IZH3
AAC1	LAS21
AAC1	LGE1
AAC1	MDH3
AAC1	MMS1
AAC1	MNN4
AAC1	NHP6A
AAC1	NPP2
AAC1	OAF1
AAC1	OPI10
AAC1	OPI8
AAC1	OPY2
AAC1	OYE2
AAC1	PAA1
AAC1	PDB1
AAC1	PEX1
AAC1	PEX10
AAC1	PEX19
AAC1	PHO23
AAC1	PKP1
AAC1	POL32
AAC1	PTM1
AAC1	RAX1
AAC1	RFC3_damp
AAC1	RIM15
AAC1	RPD3
AAC1	RPL19B
AAC1	RPS0B
AAC1	RPS21A
AAC1	RPS8A
AAC1	RTT107
AAC1	SAP1
AAC1	SER2
AAC1	SGD1_damp
AAC1	SIP4
AAC1	SLX5
AAC1	SLX8
AAC1	SMT3_damp
AAC1	SNF6
AAC1	SNT1
AAC1	SPC1
AAC1	SSH1
AAC1	SSY1_damp
AAC1	SVL3
AAC1	SWI6
AAC1	SWR1
AAC1	TOM70
AAC1	TPO1
AAC1	TPS2
AAC1	TRK2
AAC1	UBI4
AAC1	VMA21
AAC1	VMA9
AAC1	YAP1801
AAC1	YBL104C
AAC1	YBR012C
AAC1	YBR100W
AAC1	YBR238C
AAC1	YDR094W
AAC1	YFH1_damp
AAC1	YGL042C
AAC1	YGL218W
AAC1	YHR180W
AAC1	YIL108W
AAC1	YIR016W
AAC1	YJL206C
AAC1	YJL211C
AAC1	YLR301W
AAC1	YLR326W
AAC1	YME1
AAC1	YMR315W
AAC1	YNL089C
AAC1	YOL048C
AAC1	YOR283W
AAC1	YSC84
AAC1	ZRT3
AAC1	erg10-1
AAC1	taf5-15
AAC1	taf5-3
AAC3	ACN9
AAC3	BRE2
AAC3	CLB4
AAC3	CNA1
AAC3	CTF18
AAC3	CUP5
AAC3	DPB4
AAC3	ENO2
AAC3	EPT1
AAC3	EUG1
AAC3	GIM5
AAC3	GPT2
AAC3	GPX2
AAC3	HXT10
AAC3	INM2
AAC3	JNM1
AAC3	LCB5
AAC3	LST4
AAC3	MET14
AAC3	MPE1_damp
AAC3	MSS2
AAC3	NAP1
AAC3	PFS1
AAC3	RML2
AAC3	RPL35B
AAC3	SFA1
AAC3	SLX9
